,brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price
0,Ford,Utility Police Interceptor Base,2013,51000.0,E85 FLEX FUEL,300.0HP 3.7L V6 Cylinder Engine Flex Fuel Capability,A/T,Black,Black,At least 1 accident or damage reported,Yes,10300.0
1,Hyundai,Palisade SEL,2021,34742.0,GASOLINE,3.8L V6 24V GDI DOHC,A/T,Moonlight Cloud,Gray,At least 1 accident or damage reported,Yes,38005.0
2,Lexus,RX 350 RX 350,2022,22372.0,GASOLINE,3.5 Liter DOHC,A/T,Blue,Black,None reported,Unknown,54598.0
3,INFINITI,Q50 Hybrid Sport,2015,88900.0,HYBRID,354.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,A/T,Black,Black,None reported,Yes,15500.0
4,Audi,Q3 45 S line Premium Plus,2021,9835.0,GASOLINE,2.0L I4 16V GDI DOHC Turbo,A/T,Glacier White Metallic,Black,None reported,Unknown,34999.0
5,Acura,ILX 2.4L,2016,136397.0,GASOLINE,2.4 Liter,OTHER,Silver,Ebony.,None reported,Unknown,14798.0
6,Audi,S3 2.0T Premium Plus,2017,84000.0,GASOLINE,292.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Blue,Black,None reported,Yes,31000.0
7,BMW,740 iL,2001,242000.0,GASOLINE,282.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,A/T,Green,Green,None reported,Yes,7300.0
8,Lexus,RC 350 F Sport,2021,23436.0,GASOLINE,311.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,41927.0
9,Tesla,Model X Long Range Plus,2020,34000.0,OTHER,534.0HP Electric Motor Electric Fuel System,A/T,Black,Black,None reported,Yes,69950.0
10,Land,Rover Range Rover Sport 3.0 Supercharged HST,2021,27608.0,GASOLINE,V6,A/T,Fuji White,Pimento / Ebony,None reported,Unknown,73897.0
11,Aston,Martin DBS Superleggera,2019,22770.0,GASOLINE,715.0HP 5.2L 12 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,None reported,Yes,184606.0
12,Toyota,Supra 3.0 Premium,2021,12500.0,GASOLINE,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,Yellow,Black,None reported,Yes,53500.0
13,Lincoln,Aviator Reserve AWD,2022,18196.0,GASOLINE,400.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,OTHER,Black,Brown,None reported,Yes,62000.0
14,Jaguar,F-TYPE,2020,15903.0,GASOLINE,2.0 Liter Supercharged,A/T,Silver,Black,None reported,Unknown,47998.0
15,Land,Rover LR4 HSE,2013,79800.0,GASOLINE,375.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,29990.0
16,Mercedes-Benz,Metris Base,2021,1685.0,GASOLINE,2.0L I4 16V GDI DOHC Turbo,A/T,Gray,White,None reported,Yes,250000.0
17,Dodge,Challenger SXT,2013,61074.0,GASOLINE,305.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Gray,None reported,Yes,16800.0
